CNPq_Id,Akey
121,Estevam Rafael Hruschka Junior
122,
123,Fabian Vargas
123,Fabian Luis Vargas
124,Fabiano Hessel
124,Fabiano Passuelo Hessel
125,Fabio Porto
126,Fabio Gagliardi Cozman
126,Fábio Cozman
127,Fabio Kon
128,Fábio Luciano Verdi
128,Fábio L. Verdi
130,Fabrício Benevenuto
131,Fabrício Enembreck
134,Felipe M. G. França
134,Felipe Maia Galvão França
135,Felipe Meneguzzi
135,Felipe Rech Meneguzzi
136,Fernanda Araujo Baião
137,Fernando Buarque de Lima Neto
137,Fernando Buarque de L. Neto
138,Fernando Castor
138,Fernando Castor Filho
139,Fernando Magno Quintão Pereira
140,Fernando Vieira Paulovich
146,Flávio S. Corrêa da Silva
146,Flávio Soares Corrêa da Silva
141,Flávia Coimbra Delicato
142,Flávia Maria Santoro
143,Flávio Bortolozzi
144,Flávio Keidi Miyazawa
144,Flavio Keidi Miyazawa
145,Flávio Rech Wagner
145,Flávio R. Wagner
148,Francisco Vilar Brasileiro
148,Francisco V. Brasileiro
147,Francisco de A. T. de Carvalho
147,Francisco de Assis Tenório de Carvalho
149,Franklin L. Marquezino
129,Fábio Protti
133,Fátima N. S. de Medeiros
133,Fátima Nelsizeuma Sombra de Medeiros
132,Fátima L. S. Nunes
132,Fátima de Lourdes dos Santos Nunes
132,Fátima L. S. Nunes Marques
150,George D. C. Cavalcanti
150,George Darmiton da Cunha Cavalcanti
151,Geraldo Robson Mateus
151,Geraldo R. Mateus
152,Gerson Zaverucha
153,Gilson A. Giraldi
153,Gilson Antonio Giraldi
154,Gina M. B. Oliveira
154,Gina Maira Barbosa de Oliveira
155,Gisele L. Pappa
155,Gisele Lobo Pappa
156,Gordana Manic
157,Graçaliz Pereira Dimuro
158,Guido Araujo
159,Guilherme Horta Travassos
159,Guilherme Travassos
159,Guilherme H. Travassos
160,Guilherme P. Telles
161,Gustavo E. A. P. A. Batista
161,Gustavo Enrique De Almeida Prado Alves Batista
162,Gustavo Sousa Pavani
163,Hae Yong Kim
164,Haroldo F. de Campos Velho
164,Haroldo Fraga de Campos Velho
165,Haroldo G. Santos
165,Haroldo Gambini Santos
165,Haroldo Santos
167,Henrique Pacca Loureiro Luna
167,Henrique P. L. Luna
168,Hermes Senger
169,Horacio A. B. F. de Oliveira
169,Horácio A. B. F. Oliveira
170,Hugo Fuks
166,Hélio Pedrini
171,Jacob Scharcanski
172,Jacques Wainer
173,Jaelson Castro
173,Jaelson Brelaz de Castro
173,Jaelson Freire Brelaz de Castro
174,Jano Moreira de Souza
174,Jano M. Souza
175,Jauvane C. de Oliveira
175,Jauvane Cavalcante de Oliveira
175,Jauvane Cavalante de Oliveira
176,Jayme Luiz Szwarcfiter
178,João José Vasco Furtado
179,João Luiz Dihl Comba
179,João Comba
182,Joaquim B. Cavalcante Neto
182,Joaquim Bento Cavalcante Neto
183,Joceli Mayer
184,Jomi Fred Hübner
184,Jomi Hübner
185,Joni da Silva Fraga
186,Jorge Petrúcio Viana
187,Jorge Stolfi
189,José Carlos Maldonado
191,José Marcos S. Nogueira
192,José Neuman de Souza
194,José Ricardo de Almeida Torreao
188,José Antônio Fernandes de Macêdo
190,José Ferreira de Rezende
193,José Palazzo Moreira de Oliveira
