,Name,GS_Name,CNPqLevel,Begin,End,University,GS_Name,GS_Link,GS_H5,GS_Cits,GS_H5_2010,GS_Cits_2010
35,Angelo Roncalli Alencar Brayner,,2,01/03/12,28/02/2015,UNIFOR,,,,,,
36,Anna Helena Reali Costa,Anna Helena Reali Costa,2,01/03/12,28/02/2015,USP,Anna Helena Reali Costa,/citations?user=01x3kSUAAAAJ&hl=pt-BR,12.0,586.0,8.0,305.0
37,Anne Magaly de Paula Canuto,,2,01/03/13,29/02/2016,UFRN,,,,,,
38,Anselmo Cardoso de Paiva,Anselmo Cardoso de Paiva,2,01/03/12,28/02/2015,UFMA,Anselmo Cardoso de Paiva,/citations?user=mi0Lt0kAAAAJ&hl=pt-BR,13.0,466.0,9.0,356.0
39,Antonio Alberto Fernandes de Oliveira,,1D,01/03/12,29/02/2016,UFRJ,,,,,,
40,Antonio Alfredo Ferreira Loureiro,Antonio Loureiro,1B,01/03/11,28/02/2015,UFMG,Antonio Loureiro,/citations?user=GOGlTIMAAAAJ&hl=pt-BR,40.0,6380.0,29.0,4199.0
41,Antonio Augusto de Aragao Rocha,Antonio Rocha,2,01/03/14,28/02/2017,UFF,Antonio Rocha,/citations?user=C_3SJ4oAAAAJ&hl=pt-BR,6.0,244.0,6.0,223.0
42,Antonio de Padua Braga,Antnio de Pdua Braga,1C,01/08/13,28/02/2015,UFMG,Antnio de Pdua Braga,/citations?user=twRpocQAAAAJ&hl=pt-BR,17.0,1904.0,13.0,914.0
43,Antonio Marinho Pilla Barcellos,,2,01/03/12,28/02/2015,UFRGS,,,,,,
44,Antônio Tadeu Azevedo Gomes,Antonio Tadeu Azevedo Gomes,2,01/03/13,29/02/2016,LNCC,Antonio Tadeu Azevedo Gomes,/citations?user=do1rvbkAAAAJ&hl=pt-BR,10.0,359.0,7.0,173.0
45,Aristófanes Corrêa Silva,,2,01/03/12,28/02/2015,UFMA,,,,,,
46,Arnaldo de Albuquerque Araújo,Arnaldo de Albuquerque Araujo,1D,01/03/14,28/02/2018,UFMG,Arnaldo de Albuquerque Araujo,/citations?user=AitxvQIAAAAJ&hl=pt-BR,16.0,1247.0,14.0,780.0
47,Arnaldo Vieira Moura,Arnaldo Moura,2,01/03/12,28/02/2015,UNICAMP,Arnaldo Moura,/citations?user=puzlW0cAAAAJ&hl=pt-BR,11.0,510.0,10.0,312.0
48,Arndt von Staa,,2,01/03/12,28/02/2015,PUC-Rio,,,,,,
49,Artur Ziviani,Artur Ziviani,1D,01/03/12,29/02/2016,LNCC,Artur Ziviani,/citations?user=3ZF4AIEAAAAJ&hl=pt-BR,18.0,1441.0,14.0,920.0
50,Augusto Cezar Alves Sampaio,,1B,01/03/13,28/02/2017,UFPE,,,,,,
