,Name,GS_Name,CNPqLevel,Begin,End,University,GS_Name,GS_Link,GS_H5,GS_Cits,GS_H5_2010,GS_Cits_2010
155,Gisele Lobo Pappa,Gisele L. Pappa,2,01/03/14,28/02/2017,UFMG,Gisele L. Pappa,/citations?user=C_0ZLuYAAAAJ&hl=pt-BR,14.0,570.0,11.0,456.0
156,Gordana Manic,,2,01/03/13,29/02/2016,UFABC,,,,,,
157,Graçaliz Pereira Dimuro,,2,01/03/14,28/02/2017,FURG,,,,,,
158,Guido Costa Souza de Araújo,Guido Araujo,1B,01/03/14,28/02/2018,UNICAMP,Guido Araujo,/citations?user=xjuoV4QAAAAJ&hl=pt-BR,19.0,1512.0,10.0,639.0
159,Guilherme Horta Travassos,Guilherme Horta Travassos,1D,01/03/11,28/02/2015,UFRJ,Guilherme Horta Travassos,/citations?user=hn4LDmkAAAAJ&hl=pt-BR,31.0,4217.0,23.0,2328.0
160,Guilherme Pimentel Telles,guilherme p. telles,2,01/03/13,29/02/2016,UNICAMP,guilherme p. telles,/citations?user=A7znKFoAAAAJ&hl=pt-BR,11.0,528.0,9.0,263.0
161,Gustavo Enrique de Almeida Prado Alves Batista,Gustavo Batista,2,01/03/14,28/02/2017,USP,Gustavo Batista,/citations?user=takZ6KIAAAAJ&hl=pt-BR,16.0,2124.0,14.0,1444.0
162,Gustavo Sousa Pavani,Gustavo Sousa Pavani,2,01/03/12,28/02/2015,UFABC,Gustavo Sousa Pavani,/citations?user=mrjOA4MAAAAJ&hl=pt-BR,9.0,208.0,7.0,140.0
163,Hae Yong Kim,Hae Yong Kim,2,01/03/13,29/02/2016,USP,Hae Yong Kim,/citations?user=GVgDBasAAAAJ&hl=pt-BR,89.0,51394.0,58.0,27428.0
164,Haroldo Fraga de Campos Velho,Haroldo Campos Velho,2,01/03/14,28/02/2017,INPE,Haroldo Campos Velho,/citations?user=OoYFpwkAAAAJ&hl=pt-BR,15.0,649.0,8.0,239.0
165,Haroldo Gambini Santos,Haroldo Gambini Santos,2,01/03/14,28/02/2017,UFOP,Haroldo Gambini Santos,/citations?user=sHxGMR4AAAAJ&hl=pt-BR,8.0,301.0,8.0,251.0
166,Hélio Pedrini,Hlio Pedrini,2,01/03/13,29/02/2016,UNICAMP,Hlio Pedrini,/citations?user=kc-wB9QAAAAJ&hl=pt-BR,14.0,697.0,13.0,521.0
167,Henrique Pacca Loureiro Luna,Henrique Pacca Loureiro Luna,1B,01/03/12,29/02/2016,UFAL,Henrique Pacca Loureiro Luna,/citations?user=HY2CriMAAAAJ&hl=pt-BR,11.0,1036.0,9.0,459.0
168,Hermes Senger,Hermes Senger,2,01/03/13,29/02/2016,UFSCAR,Hermes Senger,/citations?user=vzHhJRoAAAAJ&hl=pt-BR,6.0,114.0,5.0,75.0
169,Horacio Antonio Braga Fernandes de Oliveira,,2,01/03/14,28/02/2017,UFAM,,,,,,
170,Hugo Fuks,Hugo Fuks,2,01/03/12,28/02/2015,PUC-Rio,Hugo Fuks,/citations?user=jqIuH6MAAAAJ&hl=pt-BR,26.0,2751.0,15.0,824.0
171,Jacob Scharcanski,,1C,01/03/14,28/02/2018,UFRGS,,,,,,
172,Jacques Wainer,Jacques Wainer,1D,01/03/14,28/02/2018,UNICAMP,Jacques Wainer,/citations?user=wKRXIZ8AAAAJ&hl=pt-BR,26.0,2632.0,19.0,1333.0
173,Jaelson Freire Brelaz de Castro,Jaelson  Castro,2,01/03/14,28/02/2017,UFPE,Jaelson  Castro,/citations?user=Um1B6_4AAAAJ&hl=pt-BR,24.0,3322.0,16.0,1337.0
174,Jano Moreira de Souza,Jano Moreira de Souza,1D,01/03/14,28/02/2018,UFRJ,Jano Moreira de Souza,/citations?user=WSrB70EAAAAJ&hl=pt-BR,15.0,1317.0,10.0,762.0
175,Jauvane Cavalcante de Oliveira,Jauvane C. de Oliveira,2,01/03/12,28/02/2015,LNCC,Jauvane C. de Oliveira,/citations?user=sUaHWkQAAAAJ&hl=pt-BR,9.0,262.0,5.0,79.0
176,Jayme Luiz Szwarcfiter,Jayme Luiz Szwarcfiter,1A,01/03/12,28/02/2017,UFRJ,Jayme Luiz Szwarcfiter,/citations?user=cjQH4G0AAAAJ&hl=pt-BR,23.0,2376.0,18.0,1280.0
177,João Eduardo Ferreira,Joo Eduardo Ferreira,2,01/03/13,29/02/2016,USP,Joo Eduardo Ferreira,/citations?user=wR2O6I0AAAAJ&hl=pt-BR,14.0,722.0,12.0,497.0
178,Joao Jose Vasco Peixoto Furtado,,2,01/03/12,28/02/2015,UNIFOR,,,,,,
179,Joao Luiz Dihl Comba,Joao Comba,1D,01/03/12,29/02/2016,UFRGS,Joao Comba,/citations?user=jyeX-1sAAAAJ&hl=pt-BR,18.0,1574.0,12.0,744.0
180,João Paulo Andrade Almeida,,2,01/03/12,28/02/2015,UFES,,,,,,
181,João Paulo Gois,Joo Paulo Gois,2,01/03/14,28/02/2017,UFABC,Joo Paulo Gois,/citations?user=-AYhiyQAAAAJ&hl=pt-BR,9.0,158.0,6.0,111.0
182,Joaquim Bento Cavalcante Neto,,2,01/03/14,28/02/2017,UFC,,,,,,
183,Joceli Mayer,"Joceli Mayer, Ph.D.",2,01/03/12,28/02/2015,UFSC,"Joceli Mayer, Ph.D.",/citations?user=u0vppTcAAAAJ&hl=pt-BR,12.0,406.0,8.0,223.0
184,Jomi Fred Hübner,Jomi Fred Hbner,2,01/03/13,29/02/2016,UFSC,Jomi Fred Hbner,/citations?user=4KPuGDYAAAAJ&hl=pt-BR,24.0,3353.0,17.0,2156.0
185,Joni da Silva Fraga,Joni Fraga,1D,01/03/11,28/02/2015,UFSC,Joni Fraga,/citations?user=4i_MfGIAAAAJ&hl=pt-BR,12.0,642.0,6.0,197.0
186,Jorge Petrúcio Viana,,2,01/03/14,28/02/2017,UFF,,,,,,
187,Jorge Stolfi,,1A,01/08/13,29/02/2016,UNICAMP,,,,,,
188,José Antonio Fernandes de Macêdo,Jose Antonio Fernandes de Macedo,2,01/03/13,29/02/2016,UFC,Jose Antonio Fernandes de Macedo,/citations?user=vQ5sIO4AAAAJ&hl=pt-BR,14.0,1076.0,13.0,937.0
189,Jose Carlos Maldonado,Jose Carlos Maldonado,1A,01/03/14,28/02/2019,USP,Jose Carlos Maldonado,/citations?user=78aU9DcAAAAJ&hl=pt-BR,31.0,3804.0,23.0,1987.0
190,José Ferreira de Rezende,Jos F. de Rezende,1D,01/03/14,28/02/2018,UFRJ,Jos F. de Rezende,/citations?user=G6UXKicAAAAJ&hl=pt-BR,18.0,1201.0,11.0,484.0
191,Jose Marcos Silva Nogueira,,1D,01/03/11,28/02/2015,UFMG,,,,,,
192,Jose Neuman de Souza,,1D,01/03/14,28/02/2018,UFC,,,,,,
193,José Palazzo Moreira de Oliveira,Jos Palazzo Moreira de Oliveira,1C,01/03/11,28/02/2015,UFRGS,Jos Palazzo Moreira de Oliveira,/citations?user=8Xw1b6oAAAAJ&hl=pt-BR,16.0,1166.0,10.0,521.0
194,Jose Ricardo de Almeida Torreao,,2,01/03/14,28/02/2017,UFF,,,,,,
195,Judith Kelner,,1D,01/03/14,29/02/2016,UFPE,,,,,,
196,Jugurta Rosa Montalvao Filho,Jugurta Montalvo,2,01/03/13,29/02/2016,UFS,Jugurta Montalvo,/citations?user=8u8oX30AAAAJ&hl=pt-BR,7.0,150.0,6.0,107.0
197,Julio César López Hernández,,2,01/03/12,28/02/2015,UNICAMP,,,,,,
198,Julio Cesar Sampaio do Prado Leite,Julio Cesar Sampaio do Prado Leite (Julio Cesar Leite (jcspl)),1C,01/03/14,28/02/2018,PUC-Rio,Julio Cesar Sampaio do Prado Leite (Julio Cesar Leite (jcspl)),/citations?user=ZHyciAQAAAAJ&hl=pt-BR,32.0,4762.0,23.0,2025.0
199,Julius Cesar Barreto Leite,Julius Leite,2,01/03/13,29/02/2016,UFF,Julius Leite,/citations?user=rDUuu0yZjJoC&hl=pt-BR,13.0,551.0,10.0,374.0
200,Junior Barrera,Junior Barrera,1B,01/03/12,29/02/2016,USP,Junior Barrera,/citations?user=NbfbLAwAAAAJ&hl=pt-BR,22.0,1965.0,11.0,470.0
201,Jussara Marques de Almeida,Jussara Almeida,1D,01/03/12,29/02/2016,UFMG,Jussara Almeida,/citations?user=pkf_HjEAAAAJ&hl=pt-BR,34.0,5523.0,26.0,2914.0
202,Karin Koogan Breitman,Karin Breitman,2,01/03/14,28/02/2017,PUC-Rio,Karin Breitman,/citations?user=AinLWzgAAAAJ&hl=pt-BR,17.0,1385.0,14.0,859.0
203,Kelvin Lopes Dias,Kelvin Lopes Dias,2,01/03/12,28/02/2015,UFPE,Kelvin Lopes Dias,/citations?user=NxjqSSAAAAAJ&hl=pt-BR,7.0,219.0,5.0,136.0
204,Lau Cheuk Lung,Lau Cheuk Lung,2,01/03/14,28/02/2017,UFSC,Lau Cheuk Lung,/citations?user=UHXYMQUAAAAJ&hl=pt-BR,16.0,891.0,12.0,442.0
205,Leandro Nunes de Castro Silva,Leandro Augusto da Silva,2,01/03/13,29/02/2016,MACKENZIE,Leandro Augusto da Silva,/citations?user=3P9_QRQAAAAJ&hl=pt-BR,4.0,68.0,4.0,56.0
206,Leila Ribeiro,Leila Ribeiro,2,01/03/14,28/02/2015,UFRGS,Leila Ribeiro,/citations?user=gVbcXTQAAAAJ&hl=pt-BR,15.0,1179.0,9.0,336.0
207,Leizer de Lima Pinto,,2,01/03/13,29/02/2016,UFG,,,,,,
208,Leliane Nunes de Barros,Leliane Nunes de Barros,2,01/03/13,29/02/2016,USP,Leliane Nunes de Barros,/citations?user=CqqZ8b0AAAAJ&hl=pt-BR,12.0,449.0,7.0,234.0
209,Leonardo Gresta Paulino Murta,Leonardo Gresta Paulino Murta,2,01/03/12,28/02/2015,UFF,Leonardo Gresta Paulino Murta,/citations?user=VEbJeB8AAAAJ&hl=pt-BR,17.0,1052.0,14.0,671.0
210,Lisandro Zambenedetti Granville,Lisandro Zambenedetti Granville,1D,01/03/14,28/02/2018,UFRGS,Lisandro Zambenedetti Granville,/citations?user=v9JjkyYAAAAJ&hl=pt-BR,17.0,1126.0,12.0,678.0
211,Loana Tito Nogueira,Loana Tito Nogueira,2,01/03/12,28/02/2015,UFF,Loana Tito Nogueira,/citations?user=AQsF0MYAAAAJ&hl=pt-BR,7.0,228.0,6.0,146.0
212,Luci Pirmez,Luci Pirmez,2,01/03/13,29/02/2016,UFRJ,Luci Pirmez,/citations?user=MwdhvMEAAAAJ&hl=pt-BR,13.0,526.0,11.0,305.0
213,Lucia Catabriga,,2,01/03/13,29/02/2016,UFES,,,,,,
214,Lúcia Maria de Assumpção Drummond,Lcia Drummond,1D,01/03/14,28/02/2018,UFF,Lcia Drummond,/citations?user=UhYdnvYAAAAJ&hl=pt-BR,13.0,682.0,10.0,391.0
215,Luciana Nedel,Luciana Nedel,2,01/03/12,28/02/2015,UFRGS,Luciana Nedel,/citations?user=PNdeI7UAAAAJ&hl=pt-BR,17.0,1224.0,13.0,557.0
216,Luciana Salete Buriol,,2,01/03/14,28/02/2017,UFRGS,,,,,,
217,Luciano Antonio Digiampietri,Luciano Antonio Digiampietri,2,01/03/14,28/02/2017,USP,Luciano Antonio Digiampietri,/citations?user=9jjZobAAAAAJ&hl=pt-BR,12.0,860.0,12.0,534.0
218,Luciano da Fontoura Costa,,1A,01/03/14,28/02/2019,USP,,,,,,
219,Luciano Paschoal Gaspary,Luciano Paschoal Gaspary,2,01/03/14,28/02/2017,UFRGS,Luciano Paschoal Gaspary,/citations?user=SnT7z5wAAAAJ&hl=pt-BR,15.0,711.0,11.0,385.0
220,Luciano Silva,Luciano Paulino Silva,1D,01/08/13,28/02/2015,UFPR,Luciano Paulino Silva,/citations?user=c_7quNQAAAAJ&hl=pt-BR,25.0,1704.0,20.0,977.0
221,Luerbio Faria,,1D,01/03/11,28/02/2015,UERJ,,,,,,
222,Luidi Gelabert Simonetti,Luidi Simonetti,2,01/03/12,28/02/2015,UFF,Luidi Simonetti,/citations?user=xOugM_4AAAAJ&hl=pt-BR,7.0,197.0,6.0,182.0
223,Luigi Carro,Luigi Carro,1B,01/03/14,28/02/2018,UFRGS,Luigi Carro,/citations?user=vS6vkY4AAAAJ&hl=pt-BR,30.0,3910.0,21.0,2036.0
224,Luis Alfredo Vidal de Carvalho,,1D,01/03/12,29/02/2016,UFRJ,,,,,,
225,Luís da Cunha Lamb,,1C,01/03/14,28/02/2017,UFRGS,,,,,,
226,Luis Enrique Zárate,Luis E. Zrate,2,01/03/13,29/02/2016,PUC Minas,Luis E. Zrate,/citations?user=j0BuBXgAAAAJ&hl=pt-BR,9.0,266.0,6.0,134.0
227,Luis Gustavo Nonato,Luis Gustavo Nonato,1C,01/03/14,28/02/2018,USP,Luis Gustavo Nonato,/citations?user=p2tLSUsAAAAJ&hl=pt-BR,16.0,1037.0,15.0,734.0
228,Luis Henrique Maciel Kosmalski Costa,Luis Henrique M K Costa,1D,01/03/14,28/02/2018,UFRJ,Luis Henrique M K Costa,/citations?user=XVZw8bwAAAAJ&hl=pt-BR,17.0,1151.0,14.0,854.0
229,Luis Menasché Schechter,,2,01/03/13,29/02/2016,UFRJ,,,,,,
230,Luiz Carlos Pessoa Albini,,2,01/03/13,29/02/2016,UFPR,,,,,,
231,Luiz Chaimowicz,Luiz Chaimowicz,2,01/03/12,28/02/2015,UFMG,Luiz Chaimowicz,/citations?user=-6ws0MoAAAAJ&hl=pt-BR,15.0,1216.0,13.0,646.0
232,Luiz Eduardo Soares de Oliveira,Luiz Eduardo S. Oliveira,1D,01/03/14,28/02/2015,UFPR,Luiz Eduardo S. Oliveira,/citations?user=oMgb9jgAAAAJ&hl=pt-BR,24.0,1806.0,19.0,1121.0
233,Luiz Fernando Gomes Soares,,1A,01/03/14,28/02/2019,PUC-Rio,,,,,,
234,Luiz Fernando Rust da Costa Carmo,,2,01/03/13,29/02/2016,INMETRO,,,,,,
235,Luiz Filipe Menezes Vieira,Luiz F. M. Vieira,2,01/03/13,29/02/2016,UFMG,Luiz F. M. Vieira,/citations?user=KGysOTEAAAAJ&hl=pt-BR,15.0,995.0,13.0,787.0
236,Luiz Henrique Andrade Correia,Jefferson Luiz Gomes Corra,2,01/03/13,29/02/2016,UFLA,Jefferson Luiz Gomes Corra,/citations?user=Jl2uFIEAAAAJ&hl=pt-BR,9.0,193.0,7.0,152.0
237,Luiz Marcos Garcia Goncalves,Luiz Marcos Garcia Goncalves,2,01/03/13,29/02/2016,UFRN,Luiz Marcos Garcia Goncalves,/citations?user=90OsTqwAAAAJ&hl=pt-BR,11.0,508.0,7.0,243.0
238,Luiz Satoru Ochi,Luiz Satoru Ochi,1C,01/03/14,28/02/2018,UFF,Luiz Satoru Ochi,/citations?user=w3KB2MoAAAAJ&hl=pt-BR,21.0,1393.0,17.0,942.0
239,Luiza de Macedo Mourelle,Luiza de Macedo Mourelle,1D,01/03/14,28/02/2018,UERJ,Luiza de Macedo Mourelle,/citations?user=3StQ65IAAAAJ&hl=pt-BR,15.0,922.0,11.0,600.0
240,Manoel Bezerra Campêlo Neto,,2,01/03/14,28/02/2017,UFC,,,,,,
241,Manuel Menezes de Oliveira Neto,Manuel Menezes de Oliveira Neto,1D,01/03/11,28/02/2015,UFRGS,Manuel Menezes de Oliveira Neto,/citations?user=f2UrnmAAAAAJ&hl=pt-BR,24.0,2618.0,19.0,1417.0
242,Marcela Xavier Ribeiro,Marcela Xavier Ribeiro,2,01/03/13,29/02/2016,UFSCAR,Marcela Xavier Ribeiro,/citations?user=NZ4rcpMAAAAJ&hl=pt-BR,10.0,333.0,8.0,245.0
243,Marcelo Bezerra d'Amorim,Marcelo d'Amorim,2,01/03/13,29/02/2016,UFPE,Marcelo d'Amorim,/citations?user=nGTsM3QAAAAJ&hl=pt-BR,12.0,598.0,11.0,387.0
244,Marcelo Ferreira Siqueira,,2,01/03/13,29/02/2016,UFRN,,,,,,
245,Marcelo Finger,Marcelo Finger,1C,01/03/11,28/02/2015,USP,Marcelo Finger,/citations?user=uuu73GEAAAAJ&hl=pt-BR,17.0,1962.0,11.0,560.0
246,Marcelo Henriques de Carvalho,,1D,01/03/14,28/02/2018,UFMS,,,,,,
247,Marcelo Soares Pimenta,"Pimenta,  Marcelo S.",2,01/03/13,29/02/2016,UFRGS,"Pimenta,  Marcelo S.",/citations?user=y7D-szYAAAAJ&hl=pt-BR,14.0,928.0,12.0,567.0
248,Marcelo Walter,Marcelo Walter,2,01/03/14,28/02/2017,UFRGS,Marcelo Walter,/citations?user=7VfUEj0AAAAJ&hl=pt-BR,9.0,332.0,6.0,134.0
249,Márcia Rosana Cerioli,Mrcia R. Cerioli,2,01/03/14,28/02/2017,UFRJ,Mrcia R. Cerioli,/citations?user=GGOtBaoAAAAJ&hl=pt-BR,8.0,236.0,7.0,146.0
250,Marcilio Carlos Pereira de Souto,,2,01/03/12,28/02/2015,UFPE,,,,,,
251,Márcio de Oliveira Barros,Mrcio Barros,2,01/03/13,29/02/2016,UNIRIO,Mrcio Barros,/citations?user=GvmSuw8AAAAJ&hl=pt-BR,12.0,683.0,9.0,387.0
252,Márcio Porto Basgalupp,Mrcio Basgalupp,2,01/03/14,28/02/2017,UNIFESP,Mrcio Basgalupp,/citations?user=uW5tdUQAAAAJ&hl=pt-BR,9.0,258.0,9.0,253.0
253,Marco Antonio Casanova,Marco Antonio Casanova,1B,01/03/14,28/02/2018,PUC-Rio,Marco Antonio Casanova,/citations?user=zWh25xcAAAAJ&hl=pt-BR,25.0,3187.0,14.0,1096.0
254,Marco Antônio Pinheiro de Cristo,Marco Cristo,2,01/03/12,28/02/2015,UFAM,Marco Cristo,/citations?user=uMWFLVMAAAAJ&hl=pt-BR,15.0,936.0,13.0,603.0
255,Marco Aurélio Gerosa,Marco Aurelio Gerosa,2,01/03/13,29/02/2016,USP,Marco Aurelio Gerosa,/citations?user=kjtuhEQAAAAJ&hl=pt-BR,21.0,1553.0,14.0,711.0
256,Marco Aurélio Spohn,,2,01/03/12,28/02/2015,UFCG,,,,,,
257,Marco Tulio de Oliveira Valente,Marco Tulio Valente,1D,01/03/12,29/02/2016,UFMG,Marco Tulio Valente,/citations?user=0vFkqMIAAAAJ&hl=pt-BR,13.0,653.0,11.0,491.0
258,Marcos André Gonçalves,Marcos Andre Goncalves,1D,01/03/13,28/02/2017,UFMG,Marcos Andre Goncalves,/citations?user=IStCGaoAAAAJ&hl=pt-BR,34.0,4405.0,28.0,2766.0
259,Marcos Antonio Simplicio Junior,Marcos Simplicio,2,01/03/14,28/02/2017,USP,Marcos Simplicio,/citations?user=E7n_ohsAAAAJ&hl=pt-BR,9.0,358.0,8.0,352.0
260,Marcos Augusto Menezes Vieira,Marcos A.M. Vieira,2,01/03/14,28/02/2017,UFMG,Marcos A.M. Vieira,/citations?user=2pp8xosAAAAJ&hl=pt-BR,10.0,989.0,8.0,509.0
261,Marcos Gonçalves Quiles,Marcos G. Quiles,2,01/03/13,29/02/2016,UNIFESP,Marcos G. Quiles,/citations?user=kQXxkc4AAAAJ&hl=pt-BR,7.0,210.0,6.0,184.0
262,Marcos Roberto da Silva Borges,Marcos R. S. Borges,1D,01/03/12,29/02/2016,UFRJ,Marcos R. S. Borges,/citations?user=mpUAlpoAAAAJ&hl=pt-BR,26.0,2516.0,15.0,1068.0
263,Marcus Rolf Peter Ritt,,2,01/03/13,29/02/2016,UFRGS,,,,,,
264,Marcus Vinicius Soledade Poggi de Aragao,Marcus Poggi,1C,01/03/14,28/02/2018,PUC-Rio,Marcus Poggi,/citations?user=tOei_80AAAAJ&hl=pt-BR,23.0,1850.0,14.0,964.0
265,Maria Claudia Reis Cavalcanti,,2,01/03/13,29/02/2016,IME,,,,,,
266,Maria Cristina Ferreira de Oliveira,Maria Cristina Ferreira de Oliveira,1C,01/03/14,28/02/2018,USP,Maria Cristina Ferreira de Oliveira,/citations?user=vhRUZogAAAAJ&hl=pt-BR,18.0,1580.0,13.0,781.0
267,Maria da Graca Campos Pimentel,Maria da Graa Campos Pimentel,1D,01/03/12,29/02/2016,USP,Maria da Graa Campos Pimentel,/citations?user=2z--uNYAAAAJ&hl=pt-BR,19.0,1472.0,12.0,624.0
268,Maria do Carmo Nicoletti,Maria do Carmo Nicoletti,2,01/03/13,29/02/2016,UFSCAR,Maria do Carmo Nicoletti,/citations?user=ByZ3btgAAAAJ&hl=pt-BR,10.0,452.0,7.0,249.0
269,Maria Emília Machado Telles Walter,,2,01/03/13,29/02/2016,UNB,,,,,,
270,Mário Fernando Montenegro Campos,Mario Campos,1B,01/03/14,28/02/2018,UFMG,Mario Campos,/citations?user=qWrXkPwAAAAJ&hl=pt-BR,24.0,2127.0,18.0,1065.0
271,Mario Roberto Folhadela Benevides,Mario Benevides,2,01/03/14,28/02/2017,UFRJ,Mario Benevides,/citations?user=O3lJvk4AAAAJ&hl=pt-BR,8.0,351.0,5.0,130.0
272,Marley Maria Bernardes Rebuzzi Vellasco,Marley Vellasco,1C,01/03/14,28/02/2018,PUC-Rio,Marley Vellasco,/citations?user=UWfQx2wAAAAJ&hl=pt-BR,22.0,2036.0,12.0,796.0
273,Marta Lima de Queiros Mattoso,Marta Mattoso,1C,01/03/11,28/02/2015,UFRJ,Marta Mattoso,/citations?user=ZPczFBAAAAAJ&hl=pt-BR,25.0,2585.0,20.0,1569.0
274,Martin Alejandro Musicante,Martin Musicante,2,01/03/13,29/02/2016,UFRN,Martin Musicante,/citations?user=2i36530AAAAJ&hl=pt-BR,10.0,339.0,6.0,136.0
275,Mauricio Ayala Rincon,Mauricio Ayala Rincon,1D,01/03/14,28/02/2018,UNB,Mauricio Ayala Rincon,/citations?user=hd3UcpsAAAAJ&hl=pt-BR,13.0,588.0,11.0,345.0
276,Maurício Ferreira Magalhães,Mauricio Magalhes,2,01/03/14,28/02/2017,UNICAMP,Mauricio Magalhes,/citations?user=ZqAfiTAAAAAJ&hl=pt-BR,14.0,781.0,12.0,467.0
277,Mauro Antonio Rincon,Mauro Antonio Rincon,2,01/03/14,28/02/2017,UFRJ,Mauro Antonio Rincon,/citations?user=hZksV-IAAAAJ&hl=pt-BR,7.0,148.0,5.0,73.0
278,Mauro Sergio Pereira Fonseca,,2,01/03/13,29/02/2016,PUC/PR,,,,,,
279,Miguel Elias Mitre Campista,Miguel Elias M. Campista,2,01/03/13,29/02/2016,UFRJ,Miguel Elias M. Campista,/citations?user=enLSHWoAAAAJ&hl=pt-BR,13.0,913.0,13.0,756.0
280,Mirella Moura Moro,Mirella M. Moro,2,01/03/13,29/02/2016,UFMG,Mirella M. Moro,/citations?user=MRbdeWkAAAAJ&hl=pt-BR,15.0,612.0,11.0,347.0
281,Mylene Christine Queiroz de Farias,,2,01/03/13,29/02/2016,UNB,,,,,,
282,Myriam Regattieri De Biase da Silva Delgado,Myriam Delgado,2,01/03/12,28/02/2015,UTFPR,Myriam Delgado,/citations?user=7B3ADs0AAAAJ&hl=pt-BR,13.0,610.0,10.0,344.0
283,Nabor das Chagas Mendonça,Nabor Mendonca,2,01/03/12,28/02/2015,UNIFOR,Nabor Mendonca,/citations?user=2DHxINoAAAAJ&hl=pt-BR,12.0,393.0,8.0,199.0
284,Nadia Nedjah,Nadia Nedjah,1D,01/03/14,28/02/2018,UERJ,Nadia Nedjah,/citations?user=aE-vExgAAAAJ&hl=pt-BR,18.0,1410.0,13.0,922.0
285,Nalvo Franco de Almeida Junior,Nalvo F Almeida Jr,2,01/03/14,28/02/2017,UFMS,Nalvo F Almeida Jr,/citations?user=kU9d-GIAAAAJ&hl=pt-BR,18.0,2962.0,16.0,1410.0
286,Nelson Delfino d'Ávila Mascarenhas,Nelson D. A. Mascarenhas,1B,01/03/14,28/02/2018,UFSCAR,Nelson D. A. Mascarenhas,/citations?user=NgJ68T0AAAAJ&hl=pt-BR,15.0,856.0,11.0,365.0
287,Nelson Luis Saldanha da Fonseca,,1B,01/03/11,28/02/2015,UNICAMP,,,,,,
288,Nelson Maculan Filho,,1A,01/03/10,28/02/2015,UFRJ,,,,,,
289,Nina Sumiko Tomita Hirata,Nina S. T. Hirata,2,01/03/13,29/02/2016,USP,Nina S. T. Hirata,/citations?user=SZFm4iwAAAAJ&hl=pt-BR,11.0,428.0,7.0,150.0
290,Nivio Ziviani,Nivio Ziviani,1A,01/03/12,28/02/2017,UFMG,Nivio Ziviani,/citations?user=OZ2ju_EAAAAJ&hl=pt-BR,32.0,3539.0,21.0,1480.0
291,Odemir Martinez Bruno,Odemir Martinez Bruno,1D,01/03/11,28/02/2015,USP,Odemir Martinez Bruno,/citations?user=LiQWYEIAAAAJ&hl=pt-BR,18.0,1457.0,16.0,1253.0
292,Olga Regina Pereira Bellon,Olga Regina Pereira Bellon,1D,01/03/14,28/02/2018,UFPR,Olga Regina Pereira Bellon,/citations?user=YBjOLlsAAAAJ&hl=pt-BR,16.0,1189.0,15.0,800.0
293,Orlando Gomes Loques Filho,Orlando Loques,2,01/03/13,29/02/2016,UFF,Orlando Loques,/citations?user=KlPc9LgAAAAJ&hl=pt-BR,17.0,836.0,12.0,462.0
294,Orlando Lee,Orlando Lee,2,01/03/12,28/02/2015,UNICAMP,Orlando Lee,/citations?user=b9ExoosAAAAJ&hl=pt-BR,6.0,146.0,4.0,103.0
295,Otávio Augusto Salgado Carpinteiro,,2,01/03/13,29/02/2016,UNIFEI,,,,,,
296,Paulo André Vechiatto de Miranda,Rosa Helena Miranda Grande,2,01/03/13,29/02/2016,USP,Rosa Helena Miranda Grande,/citations?user=O-YpNWkAAAAJ&hl=pt-BR,23.0,1541.0,20.0,998.0
297,Paulo Augusto Silva Veloso,,1A,01/03/10,28/02/2015,UFRJ,,,,,,
298,Paulo Cesar Masiero,P C Masiero,1D,01/03/11,28/02/2015,USP,P C Masiero,/citations?user=ZRqz9m4AAAAJ&hl=pt-BR,21.0,1775.0,15.0,770.0
299,Paulo Costa Carvalho,Beatriz Tavares Costa Carvalho,2,01/03/14,28/02/2017,FIOCRUZ,Beatriz Tavares Costa Carvalho,/citations?user=LdIOXEIAAAAJ&hl=pt-BR,18.0,1336.0,14.0,818.0
300,Paulo Eduardo Santos,Paulo E. Santos,2,01/03/12,28/02/2015,FEI,Paulo E. Santos,/citations?user=DBxdqQ8AAAAJ&hl=pt-BR,11.0,387.0,9.0,213.0
301,Paulo Henrique Lemelle Fernandes,Paulo Fernandes,2,01/03/14,28/02/2017,PUCRS,Paulo Fernandes,/citations?user=eIRnFt0AAAAJ&hl=pt-BR,19.0,1118.0,14.0,616.0
302,Paulo Henrique Monteiro Borba,Paulo Borba,1D,01/03/14,28/02/2018,UFPE,Paulo Borba,/citations?user=PpRDLgcAAAAJ&hl=pt-BR,28.0,3173.0,20.0,1494.0
303,Paulo Martins Engel,Paulo Martins Engel,2,01/03/13,29/02/2016,UFRGS,Paulo Martins Engel,/citations?user=3yK2X-MAAAAJ&hl=pt-BR,13.0,674.0,8.0,343.0
304,Paulo Roberto Freire Cunha,,1B,01/03/11,28/02/2015,UFPE,,,,,,
305,Paulo Roberto Oliveira,Paulo Roberto Oliveira,1D,01/03/14,28/02/2018,UFRJ,Paulo Roberto Oliveira,/citations?user=55Or75UAAAAJ&hl=pt-BR,13.0,599.0,10.0,407.0
306,Paulo Romero Martins Maciel,Paulo Romero Martins Maciel,1D,01/03/11,28/02/2015,UFPE,Paulo Romero Martins Maciel,/citations?user=bZVFwWwAAAAJ&hl=pt-BR,16.0,1324.0,13.0,877.0
307,Paulo Sérgio Licciardi Messeder Barreto,Paulo Barreto,1D,01/03/13,28/02/2017,USP,Paulo Barreto,/citations?user=kG_95CgAAAAJ&hl=pt-BR,25.0,4951.0,21.0,2575.0
